using python: /home1/hahall/.conda/envs/optical_reef/bin/python
>> model: 30,000 sim stars (of 80,778 full), 600 draws | 8 apertures [10.0, 20.0, 50.0, 100.0, 250.0, 500.0, 750.0, 1000.0] | contrast=1e-10 k_OWA=32 t=360min
>> shard 13/50: 60 of 3000 draws
   shard13 [    1/60   1.7%] |----------------------------| elapsed    18s eta  1044s
   shard13 [    2/60   3.3%] |----------------------------| elapsed    36s eta  1034s
   shard13 [    3/60   5.0%] |#---------------------------| elapsed    54s eta  1020s
   shard13 [    4/60   6.7%] |#---------------------------| elapsed    71s eta   999s
   shard13 [    5/60   8.3%] |##--------------------------| elapsed    89s eta   981s
   shard13 [    6/60  10.0%] |##--------------------------| elapsed   107s eta   962s
   shard13 [    7/60  11.7%] |###-------------------------| elapsed   125s eta   944s
   shard13 [    8/60  13.3%] |###-------------------------| elapsed   143s eta   927s
   shard13 [    9/60  15.0%] |####------------------------| elapsed   160s eta   909s
   shard13 [   10/60  16.7%] |####------------------------| elapsed   178s eta   891s
   shard13 [   11/60  18.3%] |#####-----------------------| elapsed   196s eta   873s
   shard13 [   12/60  20.0%] |#####-----------------------| elapsed   214s eta   854s
   shard13 [   13/60  21.7%] |######----------------------| elapsed   231s eta   836s
   shard13 [   14/60  23.3%] |######----------------------| elapsed   249s eta   819s
   shard13 [   15/60  25.0%] |#######---------------------| elapsed   267s eta   801s
   shard13 [   16/60  26.7%] |#######---------------------| elapsed   286s eta   787s
   shard13 [   17/60  28.3%] |#######---------------------| elapsed   304s eta   768s
   shard13 [   18/60  30.0%] |########--------------------| elapsed   321s eta   750s
   shard13 [   19/60  31.7%] |########--------------------| elapsed   340s eta   733s
   shard13 [   20/60  33.3%] |#########-------------------| elapsed   358s eta   715s
   shard13 [   21/60  35.0%] |#########-------------------| elapsed   375s eta   697s
   shard13 [   22/60  36.7%] |##########------------------| elapsed   393s eta   679s
   shard13 [   23/60  38.3%] |##########------------------| elapsed   411s eta   660s
   shard13 [   24/60  40.0%] |###########-----------------| elapsed   435s eta   653s
   shard13 [   25/60  41.7%] |###########-----------------| elapsed   454s eta   635s
   shard13 [   26/60  43.3%] |############----------------| elapsed   471s eta   616s
   shard13 [   27/60  45.0%] |############----------------| elapsed   492s eta   601s
   shard13 [   28/60  46.7%] |#############---------------| elapsed   510s eta   582s
   shard13 [   29/60  48.3%] |#############---------------| elapsed   529s eta   566s
   shard13 [   30/60  50.0%] |##############--------------| elapsed   547s eta   547s
   shard13 [   31/60  51.7%] |##############--------------| elapsed   565s eta   528s
   shard13 [   32/60  53.3%] |##############--------------| elapsed   583s eta   510s
   shard13 [   33/60  55.0%] |###############-------------| elapsed   600s eta   491s
   shard13 [   34/60  56.7%] |###############-------------| elapsed   619s eta   473s
   shard13 [   35/60  58.3%] |################------------| elapsed   636s eta   454s
   shard13 [   36/60  60.0%] |################------------| elapsed   655s eta   437s
   shard13 [   37/60  61.7%] |#################-----------| elapsed   673s eta   418s
   shard13 [   38/60  63.3%] |#################-----------| elapsed   691s eta   400s
   shard13 [   39/60  65.0%] |##################----------| elapsed   709s eta   382s
   shard13 [   40/60  66.7%] |##################----------| elapsed   726s eta   363s
   shard13 [   41/60  68.3%] |###################---------| elapsed   756s eta   350s
   shard13 [   42/60  70.0%] |###################---------| elapsed   774s eta   332s
   shard13 [   43/60  71.7%] |####################--------| elapsed   792s eta   313s
   shard13 [   44/60  73.3%] |####################--------| elapsed   810s eta   294s
   shard13 [   45/60  75.0%] |#####################-------| elapsed   828s eta   276s
   shard13 [   46/60  76.7%] |#####################-------| elapsed   845s eta   257s
   shard13 [   47/60  78.3%] |#####################-------| elapsed   863s eta   239s
   shard13 [   48/60  80.0%] |######################------| elapsed   882s eta   220s
   shard13 [   49/60  81.7%] |######################------| elapsed   900s eta   202s
   shard13 [   50/60  83.3%] |#######################-----| elapsed   917s eta   183s
   shard13 [   51/60  85.0%] |#######################-----| elapsed   935s eta   165s
   shard13 [   52/60  86.7%] |########################----| elapsed   953s eta   147s
   shard13 [   53/60  88.3%] |########################----| elapsed   971s eta   128s
   shard13 [   54/60  90.0%] |#########################---| elapsed   989s eta   110s
   shard13 [   55/60  91.7%] |#########################---| elapsed  1006s eta    91s
   shard13 [   56/60  93.3%] |##########################--| elapsed  1025s eta    73s
   shard13 [   57/60  95.0%] |##########################--| elapsed  1042s eta    55s
   shard13 [   58/60  96.7%] |###########################-| elapsed  1060s eta    37s
   shard13 [   59/60  98.3%] |###########################-| elapsed  1078s eta    18s
   shard13 [   60/60 100.0%] |############################| elapsed  1096s eta     0s
>> wrote /home1/hahall/OpticalReefUseCase2/OpticalReefUseCase2/parts_sens/part_0013.npz
